[2023-03-03T19:29:06.228+0000] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: sandbox.get_data_goes_from_aws manual__2023-03-03T19:29:00.813030+00:00 [queued]>
[2023-03-03T19:29:06.237+0000] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: sandbox.get_data_goes_from_aws manual__2023-03-03T19:29:00.813030+00:00 [queued]>
[2023-03-03T19:29:06.238+0000] {taskinstance.py:1279} INFO - 
--------------------------------------------------------------------------------
[2023-03-03T19:29:06.238+0000] {taskinstance.py:1280} INFO - Starting attempt 1 of 1
[2023-03-03T19:29:06.238+0000] {taskinstance.py:1281} INFO - 
--------------------------------------------------------------------------------
[2023-03-03T19:29:06.258+0000] {taskinstance.py:1300} INFO - Executing <Task(PythonOperator): get_data_goes_from_aws> on 2023-03-03 19:29:00.813030+00:00
[2023-03-03T19:29:06.295+0000] {standard_task_runner.py:55} INFO - Started process 3992 to run task
[2023-03-03T19:29:06.313+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'sandbox', 'get_data_goes_from_aws', 'manual__2023-03-03T19:29:00.813030+00:00', '--job-id', '6', '--raw', '--subdir', 'DAGS_FOLDER/noaa.py', '--cfg-path', '/tmp/tmpqf825xzz']
[2023-03-03T19:29:06.314+0000] {standard_task_runner.py:83} INFO - Job 6: Subtask get_data_goes_from_aws
[2023-03-03T19:29:06.470+0000] {task_command.py:388} INFO - Running <TaskInstance: sandbox.get_data_goes_from_aws manual__2023-03-03T19:29:00.813030+00:00 [running]> on host a1445a4c94cf
[2023-03-03T19:29:06.564+0000] {taskinstance.py:1507} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=sandbox
AIRFLOW_CTX_TASK_ID=get_data_goes_from_aws
AIRFLOW_CTX_EXECUTION_DATE=2023-03-03T19:29:00.813030+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2023-03-03T19:29:00.813030+00:00
[2023-03-03T19:29:06.628+0000] {logging_mixin.py:137} INFO - ********** CREATED TABLE GOES ************
[2023-03-03T19:29:06.629+0000] {logging_mixin.py:137} INFO - ********************** get_all_geos_file_name_by_filter_new****************
[2023-03-03T19:29:07.982+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C01_G18_s20230010001170_e20230010003544_c20230010003582.nc
[2023-03-03T19:29:07.986+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C01_G18_s20230010006170_e20230010008548_c20230010008589.nc
[2023-03-03T19:29:07.990+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C01_G18_s20230010011170_e20230010013546_c20230010013581.nc
[2023-03-03T19:29:07.991+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C01_G18_s20230010016170_e20230010018545_c20230010018590.nc
[2023-03-03T19:29:07.993+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C01_G18_s20230010021170_e20230010023548_c20230010023586.nc
[2023-03-03T19:29:07.994+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C01_G18_s20230010026170_e20230010028549_c20230010029007.nc
[2023-03-03T19:29:07.996+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C01_G18_s20230010031170_e20230010033544_c20230010034008.nc
[2023-03-03T19:29:07.998+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C01_G18_s20230010036170_e20230010038545_c20230010038583.nc
[2023-03-03T19:29:07.999+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C01_G18_s20230010041170_e20230010043546_c20230010043579.nc
[2023-03-03T19:29:08.000+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C01_G18_s20230010046170_e20230010048544_c20230010048590.nc
[2023-03-03T19:29:08.001+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C01_G18_s20230010051170_e20230010053545_c20230010053588.nc
[2023-03-03T19:29:08.002+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C01_G18_s20230010056170_e20230010058547_c20230010058582.nc
[2023-03-03T19:29:08.003+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C02_G18_s20230010001170_e20230010003545_c20230010003578.nc
[2023-03-03T19:29:08.004+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C02_G18_s20230010006170_e20230010008545_c20230010008578.nc
[2023-03-03T19:29:08.005+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C02_G18_s20230010011170_e20230010013543_c20230010013578.nc
[2023-03-03T19:29:08.007+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C02_G18_s20230010016170_e20230010018543_c20230010018578.nc
