[2023-03-03T20:04:19.789+0000] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: sandbox.get_data_goes_from_aws manual__2023-03-03T20:04:13.264956+00:00 [queued]>
[2023-03-03T20:04:19.796+0000] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: sandbox.get_data_goes_from_aws manual__2023-03-03T20:04:13.264956+00:00 [queued]>
[2023-03-03T20:04:19.796+0000] {taskinstance.py:1279} INFO - 
--------------------------------------------------------------------------------
[2023-03-03T20:04:19.797+0000] {taskinstance.py:1280} INFO - Starting attempt 1 of 1
[2023-03-03T20:04:19.797+0000] {taskinstance.py:1281} INFO - 
--------------------------------------------------------------------------------
[2023-03-03T20:04:19.802+0000] {taskinstance.py:1300} INFO - Executing <Task(PythonOperator): get_data_goes_from_aws> on 2023-03-03 20:04:13.264956+00:00
[2023-03-03T20:04:19.818+0000] {standard_task_runner.py:55} INFO - Started process 5796 to run task
[2023-03-03T20:04:19.822+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'sandbox', 'get_data_goes_from_aws', 'manual__2023-03-03T20:04:13.264956+00:00', '--job-id', '7', '--raw', '--subdir', 'DAGS_FOLDER/noaa.py', '--cfg-path', '/tmp/tmpdlfwx7yv']
[2023-03-03T20:04:19.823+0000] {standard_task_runner.py:83} INFO - Job 7: Subtask get_data_goes_from_aws
[2023-03-03T20:04:19.888+0000] {task_command.py:388} INFO - Running <TaskInstance: sandbox.get_data_goes_from_aws manual__2023-03-03T20:04:13.264956+00:00 [running]> on host a1445a4c94cf
[2023-03-03T20:04:19.933+0000] {taskinstance.py:1507} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=sandbox
AIRFLOW_CTX_TASK_ID=get_data_goes_from_aws
AIRFLOW_CTX_EXECUTION_DATE=2023-03-03T20:04:13.264956+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2023-03-03T20:04:13.264956+00:00
[2023-03-03T20:04:20.003+0000] {logging_mixin.py:137} INFO - ********** CREATED TABLE GOES ************
[2023-03-03T20:04:20.037+0000] {logging_mixin.py:137} INFO - ********** CREATED TABLE GOES ************
[2023-03-03T20:04:20.037+0000] {logging_mixin.py:137} INFO - ********************** get_all_geos_file_name_by_filter_new****************
[2023-03-03T20:04:21.676+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C01_G18_s20230010001170_e20230010003544_c20230010003582.nc
[2023-03-03T20:04:21.678+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C01_G18_s20230010006170_e20230010008548_c20230010008589.nc
[2023-03-03T20:04:21.679+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C01_G18_s20230010011170_e20230010013546_c20230010013581.nc
[2023-03-03T20:04:21.679+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C01_G18_s20230010016170_e20230010018545_c20230010018590.nc
[2023-03-03T20:04:21.679+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C01_G18_s20230010021170_e20230010023548_c20230010023586.nc
[2023-03-03T20:04:21.680+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C01_G18_s20230010026170_e20230010028549_c20230010029007.nc
[2023-03-03T20:04:21.680+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C01_G18_s20230010031170_e20230010033544_c20230010034008.nc
[2023-03-03T20:04:21.681+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C01_G18_s20230010036170_e20230010038545_c20230010038583.nc
[2023-03-03T20:04:21.681+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C01_G18_s20230010041170_e20230010043546_c20230010043579.nc
[2023-03-03T20:04:21.681+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C01_G18_s20230010046170_e20230010048544_c20230010048590.nc
[2023-03-03T20:04:21.682+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C01_G18_s20230010051170_e20230010053545_c20230010053588.nc
[2023-03-03T20:04:21.682+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C01_G18_s20230010056170_e20230010058547_c20230010058582.nc
[2023-03-03T20:04:21.683+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C02_G18_s20230010001170_e20230010003545_c20230010003578.nc
[2023-03-03T20:04:21.683+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C02_G18_s20230010006170_e20230010008545_c20230010008578.nc
[2023-03-03T20:04:21.684+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C02_G18_s20230010011170_e20230010013543_c20230010013578.nc
[2023-03-03T20:04:21.684+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C02_G18_s20230010016170_e20230010018543_c20230010018578.nc
[2023-03-03T20:04:21.685+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C02_G18_s20230010021170_e20230010023545_c20230010023577.nc
[2023-03-03T20:04:21.685+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C02_G18_s20230010026170_e20230010028543_c20230010028575.nc
[2023-03-03T20:04:21.685+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C02_G18_s20230010031170_e20230010033543_c20230010033577.nc
[2023-03-03T20:04:21.686+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C02_G18_s20230010036170_e20230010038545_c20230010038578.nc
[2023-03-03T20:04:21.686+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C02_G18_s20230010041170_e20230010043543_c20230010043576.nc
[2023-03-03T20:04:21.686+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C02_G18_s20230010046170_e20230010048544_c20230010048578.nc
[2023-03-03T20:04:21.687+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C02_G18_s20230010051170_e20230010053543_c20230010053577.nc
[2023-03-03T20:04:21.687+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C02_G18_s20230010056170_e20230010058545_c20230010058576.nc
[2023-03-03T20:04:21.687+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010001170_e20230010003544_c20230010003590.nc
[2023-03-03T20:04:21.688+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010006170_e20230010008545_c20230010008583.nc
[2023-03-03T20:04:21.688+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010011170_e20230010013546_c20230010014002.nc
[2023-03-03T20:04:21.689+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010016170_e20230010018545_c20230010018587.nc
[2023-03-03T20:04:21.689+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C03_G18_s20230010021170_e20230010023547_c20230010023581.nc
